年月,性別,前々月末日現在,出生,死亡,転入等,転出等,前月末日現在,増減
201405,女,11779,1,7,21,24,11770,-9
201406,男,10475,9,15,25,16,10478,3
201406,女,11770,12,15,15,27,11755,-15
201407,男,10478,6,10,17,24,10467,-11
201407,女,11755,7,14,11,13,11746,-9
201408,男,10467,5,9,9,15,10457,-10
201408,女,11746,8,11,8,17,11734,-12
201409,男,10457,3,10,16,15,10451,-6
201409,女,11734,0,19,12,20,11703,-27
201410,男,10451,7,15,21,14,10450,-1
201410,女,11703,3,21,14,26,11673,-30
201411,男,10450,9,13,15,12,10449,-1
201411,女,11673,7,14,19,12,11673,0
201412,男,10449,2,18,11,10,10434,-15
201412,女,11673,3,16,7,23,11644,-29
201501,男,10434,5,19,12,24,10408,-26
201501,女,11644,2,19,19,24,11622,-22
201502,男,10408,3,19,12,16,10388,-20
201502,女,11622,2,16,8,20,11596,-26
201503,男,10388,7,11,11,15,10380,-8
201503,女,11596,5,16,15,20,11580,-16
201504,男,10380,5,8,39,59,10357,-23
201504,女,11580,4,21,31,65,11529,-51
201505,男,10357,4,6,24,22,10357,0
201505,女,11529,6,9,23,25,11524,-5
201506,男,10357,5,13,18,20,10347,-10
201506,女,11524,7,9,16,15,11523,-1
201507,男,10347,6,7,10,24,10332,-15
201507,女,11523,2,17,20,20,11508,-15
201508,男,10332,7,11,21,14,10335,3
201508,女,11508,4,8,18,27,11495,-13
201509,男,10335,8,16,12,20,10319,-16
201509,女,11495,3,22,12,29,11459,-36
201510,男,10319,2,9,19,27,10304,-15
201510,女,11459,7,16,14,28,11436,-23
201511,男,10304,2,14,10,16,10286,-18
201511,女,11436,0,19,17,26,11408,-28
201512,男,10286,7,16,14,9,10282,-4
201512,女,11408,7,18,10,12,11395,-13
201601,男,10282,6,9,13,20,10272,-10
201601,女,11395,1,6,13,9,11394,-1
201602,男,10272,3,16,13,17,10255,-17
201602,女,11394,1,15,11,12,11379,-15
201603,男,10255,4,11,16,14,10250,-5
201603,女,11379,5,18,11,16,11361,-18
201604,男,10250,2,15,30,69,10198,-52
201604,女,11361,4,17,11,59,11300,-61
201605,男,10198,7,18,34,30,10191,-7
201605,女,11300,6,16,24,18,11296,-4
201606,男,10191,9,12,18,19,10187,-4
201606,女,11296,6,13,13,20,11282,-14
201607,男,10187,4,7,18,19,10183,-4
201607,女,11282,6,11,12,16,11273,-9
201608,男,10183,0,9,17,27,10164,-19
201608,女,11273,2,13,13,20,11255,-18
201609,男,10164,4,14,14,31,10137,-27
201609,女,11255,1,9,10,35,11222,-33
201610,男,10137,10,11,12,13,10135,-2
201610,女,11222,2,11,14,16,11211,-11
201611,男,10135,8,18,17,15,10127,-8
201611,女,11211,2,19,18,18,11194,-17
201612,男,10127,2,15,14,17,10111,-16
201612,女,11194,7,14,17,14,11190,-4
201701,男,10111,5,20,5,21,10080,-31
201701,女,11190,1,20,10,16,11165,-25
201702,男,10080,3,20,18,20,10061,-19
201702,女,11165,5,16,12,24,11142,-23
201703,男,10061,5,19,11,9,10049,-12
201703,女,11142,3,18,13,18,11122,-20
201704,男,10049,4,11,44,64,10022,-27
201704,女,11122,3,14,40,61,11090,-32
201705,男,10022,5,21,27,21,10012,-10
201705,女,11090,5,10,19,30,11074,-16
201706,男,10012,4,13,17,16,10004,-8
201706,女,11074,5,11,17,15,11070,-4
201707,男,10004,2,11,22,20,9997,-7
201707,女,11070,2,11,21,21,11061,-9
201708,男,9997,4,11,18,16,9992,-5
201708,女,11061,7,7,21,13,11069,8
201709,男,9992,6,10,11,19,9980,-12
201709,女,11069,3,8,12,25,11051,-18
201710,男,9980,2,10,12,14,9970,-10
201710,女,11051,5,7,8,15,11042,-9
201711,男,9970,1,15,16,14,9958,-12
201711,女,11042,3,10,20,6,11049,7
201712,男,9958,3,10,6,22,9935,-23
201712,女,11049,0,14,7,29,11013,-36
201801,男,9935,5,19,9,17,9913,-22
201801,女,11013,1,20,16,16,10994,-19
201802,男,9913,3,23,10,13,9890,-23
201802,女,10994,2,25,2,18,10955,-39
201803,男,9890,6,7,13,14,9888,-2
201803,女,10955,0,19,19,13,10942,-13
201804,男,9888,4,15,27,66,9838,-50
201804,女,10942,3,18,14,57,10884,-58
201805,男,9838,3,13,19,29,9818,-20
201805,女,10884,5,20,13,27,10855,-29
201806,男,9818,2,17,18,19,9802,-16
201806,女,10855,5,8,12,22,10842,-13
201807,男,9802,1,15,12,17,9783,-19
201807,女,10842,5,10,8,18,10827,-15
201808,男,9783,3,11,17,16,9776,-7
201808,女,10827,2,15,10,21,10803,-24
201809,男,9776,9,15,23,11,9782,6
201809,女,10803,4,21,15,11,10790,-13
201810,男,9782,4,19,9,16,9760,-22
201810,女,10790,3,19,6,10,10770,-20
201811,男,9760,2,14,14,13,9749,-11
201811,女,10770,1,7,14,14,10764,-6
201812,男,9749,4,16,10,14,9733,-16
201812,女,10764,8,11,11,15,10757,-7
201901,男,9733,2,18,6,13,9710,-23
201901,女,10757,5,9,19,16,10756,-1
201902,男,9710,6,16,11,28,9683,-27
201902,女,10756,5,18,12,23,10732,-24
201903,男,9683,3,8,11,22,9667,-16
201903,女,10732,2,13,9,18,10712,-20
201904,男,9667,5,13,17,52,9624,-43
201904,女,10712,5,20,16,44,10669,-43
201905,男,9624,3,18,36,29,9616,-8
201905,女,10669,5,18,23,22,10657,-12
201906,男,9616,3,18,24,20,9605,-11
201906,女,10657,5,13,24,21,10652,-5
201907,男,9605,4,8,17,11,9607,2
201907,女,10652,2,10,19,13,10650,-2
201908,男,9607,2,10,13,14,9598,-9
201908,女,10650,2,17,15,15,10635,-15
201909,男,9598,4,15,17,25,9579,-19
